"","date","time","subject","blockcode","blocknum_and_trialnum","trialcode","primestim","targetstim","correct","latency","exclude_based_on_trial_count"
"1","23.06.22",10:46:38,548957868,"test","2_1","instructions",0,0,1,3313,"exclude"
"2","23.06.22",11:55:36,504546409,"test","2_2","prime_positive",1,61,0,161,"exclude"
"3","23.06.22",11:55:36,504546409,"test","2_3","prime_positive",2,4,0,328,"exclude"
"4","23.06.22",11:55:36,504546409,"test","2_4","prime_positive",4,54,1,220,"exclude"
"5","23.06.22",11:55:36,504546409,"test","2_5","prime_negative",1,33,1,308,"exclude"
"6","23.06.22",11:55:36,504546409,"test","2_6","prime_negative",3,71,1,235,"exclude"
"7","23.06.22",11:55:36,504546409,"test","2_7","prime_negative",4,37,1,224,"exclude"
"8","23.06.22",11:55:36,504546409,"test","2_8","prime_negative",2,19,0,369,"exclude"
"9","23.06.22",11:55:36,504546409,"test","2_9","prime_positive",4,56,1,1105,"exclude"
"10","23.06.22",12:37:27,893377996,"test","2_1","instructions",0,0,1,241,"exclude"
"11","23.06.22",12:23:51,994692692,"test","2_2","prime_positive",1,23,0,1611,"include"
"12","23.06.22",12:23:51,994692692,"test","2_3","prime_negative",3,33,0,627,"include"
"13","23.06.22",12:23:51,994692692,"test","2_4","prime_negative",4,21,1,865,"include"
"14","23.06.22",12:23:51,994692692,"test","2_5","prime_negative",1,60,1,766,"include"
"15","23.06.22",12:23:51,994692692,"test","2_6","prime_positive",2,30,0,582,"include"
"16","23.06.22",12:23:51,994692692,"test","2_7","prime_negative",1,16,0,495,"include"
"17","23.06.22",12:23:51,994692692,"test","2_8","prime_negative",4,61,1,869,"include"
"18","23.06.22",12:23:51,994692692,"test","2_9","prime_positive",3,24,0,699,"include"
"19","23.06.22",12:23:51,994692692,"test","2_10","prime_positive",3,11,1,971,"include"
"20","23.06.22",12:23:51,994692692,"test","2_11","prime_negative",2,56,0,588,"include"
"21","23.06.22",12:23:51,994692692,"test","2_12","prime_negative",3,28,0,587,"include"
"22","23.06.22",12:23:51,994692692,"test","2_13","prime_negative",4,68,1,615,"include"
"23","23.06.22",12:23:51,994692692,"test","2_14","prime_positive",4,38,1,804,"include"
"24","23.06.22",12:23:51,994692692,"test","2_15","prime_negative",3,6,0,297,"include"
"25","23.06.22",12:23:51,994692692,"test","2_16","prime_negative",1,39,0,587,"include"
"26","23.06.22",12:23:51,994692692,"test","2_17","prime_negative",2,66,0,617,"include"
"27","23.06.22",12:23:51,994692692,"test","2_18","prime_positive",1,53,1,536,"include"
"28","23.06.22",12:23:51,994692692,"test","2_19","prime_positive",2,46,1,684,"include"
"29","23.06.22",12:23:51,994692692,"test","2_20","prime_negative",2,70,0,515,"include"
"30","23.06.22",12:23:51,994692692,"test","2_21","prime_negative",3,55,0,448,"include"
"31","23.06.22",12:23:51,994692692,"test","2_22","prime_negative",4,59,1,490,"include"
"32","23.06.22",12:23:51,994692692,"test","2_23","prime_positive",3,3,1,628,"include"
"33","23.06.22",12:23:51,994692692,"test","2_24","prime_negative",1,13,0,421,"include"
"34","23.06.22",12:23:51,994692692,"test","2_25","prime_positive",1,12,1,470,"include"
"35","23.06.22",12:23:51,994692692,"test","2_26","prime_negative",2,45,1,733,"include"
"36","23.06.22",12:23:51,994692692,"test","2_27","prime_positive",4,18,1,547,"include"
"37","23.06.22",12:23:51,994692692,"test","2_28","prime_positive",2,19,1,503,"include"
"38","23.06.22",12:23:51,994692692,"test","2_29","prime_negative",1,31,0,487,"include"
"39","23.06.22",12:23:51,994692692,"test","2_30","prime_positive",3,15,1,347,"include"
"40","23.06.22",12:23:51,994692692,"test","2_31","prime_negative",4,62,1,1008,"include"
"41","23.06.22",12:23:51,994692692,"test","2_32","prime_negative",3,29,0,316,"include"
"42","23.06.22",12:23:51,994692692,"test","2_33","prime_positive",4,48,1,492,"include"
"43","23.06.22",12:23:51,994692692,"test","2_34","prime_positive",2,69,1,492,"include"
"44","23.06.22",12:23:51,994692692,"test","2_35","prime_negative",4,57,0,533,"include"
"45","23.06.22",12:23:51,994692692,"test","2_36","prime_negative",1,35,0,443,"include"
"46","23.06.22",12:23:51,994692692,"test","2_37","prime_positive",1,14,1,545,"include"
"47","23.06.22",12:23:51,994692692,"test","2_38","prime_negative",2,2,1,848,"include"
"48","23.06.22",12:23:51,994692692,"test","2_39","prime_negative",3,52,0,408,"include"
"49","23.06.22",12:23:51,994692692,"test","2_40","prime_positive",2,51,1,546,"include"
"50","23.06.22",12:23:51,994692692,"test","2_41","prime_positive",1,41,1,508,"include"
"51","23.06.22",12:23:51,994692692,"test","2_42","prime_negative",4,72,0,654,"include"
"52","23.06.22",12:23:51,994692692,"test","2_43","prime_positive",3,36,1,423,"include"
"53","23.06.22",12:23:51,994692692,"test","2_44","prime_positive",4,42,1,614,"include"
"54","23.06.22",12:23:51,994692692,"test","2_45","prime_positive",1,27,1,485,"include"
"55","23.06.22",12:23:51,994692692,"test","2_46","prime_positive",4,64,1,1424,"include"
"56","23.06.22",12:23:51,994692692,"test","2_47","prime_positive",2,63,1,684,"include"
